endpoint,date,incidents,downtime_min
riksarkivet_nad_se_ula_12231,2025-02-13,1,730.15
riksarkivet_nad_se_ula_12231,2025-02-14,2,739.0
riksarkivet_nad_se_ula_12231,2025-02-16,1,32.83
riksarkivet_nad_se_ula_12231,2025-02-20,1,15.6
riksarkivet_nad_se_ula_12231,2025-02-23,1,38.0
riksarkivet_nad_se_ula_12231,2025-02-27,1,25.1
riksarkivet_nad_se_ula_12231,2025-03-02,1,36.23
riksarkivet_nad_se_ula_12231,2025-03-09,1,31.63
riksarkivet_nad_se_ula_12231,2025-03-14,1,8.7
riksarkivet_nad_se_ula_12231,2025-03-16,1,23.85
riksarkivet_nad_se_ula_12231,2025-03-23,1,36.4
riksarkivet_nad_se_ula_12231,2025-03-27,2,41.58
riksarkivet_nad_se_ula_12231,2025-03-30,1,44.52
riksarkivet_nad_se_ula_12231,2025-04-06,1,32.28
riksarkivet_nad_se_ula_12231,2025-04-10,1,56.95
riksarkivet_nad_se_ula_12231,2025-04-13,1,40.55
riksarkivet_nad_se_ula_12231,2025-04-18,1,259.53
riksarkivet_nad_se_ula_12231,2025-04-23,1,41.72
riksarkivet_nad_se_ula_12231,2025-04-24,1,10.78
riksarkivet_nad_se_ula_12231,2025-04-27,1,46.55
riksarkivet_nad_se_ula_12231,2025-05-04,1,53.85
riksarkivet_nad_se_ula_12231,2025-05-08,1,9.98
riksarkivet_nad_se_ula_12231,2025-05-11,1,54.02
riksarkivet_nad_se_ula_12231,2025-05-15,1,9.68
riksarkivet_nad_se_ula_12231,2025-05-22,1,9.17
riksarkivet_nad_se_ula_12231,2025-05-29,1,11.22
riksarkivet_nad_se_ula_12231,2025-06-05,1,11.38
riksarkivet_nad_se_ula_12231,2025-06-12,1,31.97
riksarkivet_nad_se_ula_12231,2025-06-16,2,138.02
riksarkivet_nad_se_ula_12231,2025-06-17,3,2524.6800000000003
riksarkivet_nad_se_ula_12231,2025-06-18,1,2430.03
riksarkivet_nad_se_ula_12231,2025-06-19,2,2442.4
riksarkivet_nad_se_ula_12231,2025-06-24,1,6.7
riksarkivet_nad_se_ula_12231,2025-06-26,1,19.82
riksarkivet_nad_se_ula_12231,2025-07-03,1,20.62
riksarkivet_nad_se_ula_12231,2025-08-03,1,22.43
riksarkivet_nad_se_ula_12231,2025-08-12,1,15.67
riksarkivet_nad_se_ula_12231,2025-08-15,1,190.43
riksarkivet_nad_se_ula_12231,2025-08-26,2,43.57
riksarkivet_nad_se_ula_12231,2025-08-27,1,16.63
riksarkivet_nad_se_ula_12231,2025-09-11,1,12.52
riksarkivet_nad_se_ula_12231,2025-09-13,1,7.17
riksarkivet_nad_se_ula_12231,2025-09-26,1,9.2
